benchmark,status-ikos,cputime (s)-ikos,walltime (s)-ikos,memory (MB)-ikos,status-mikos,cputime (s)-mikos,walltime (s)-mikos,memory (MB)-mikos,memreduction,speedup,status-baseline,cputime (s)-baseline,walltime (s)-baseline,memory (MB)-baseline,vanillabaseline,baselineours
OSS/adns-1.5.1/adnshost.bc,OK,10.02969362,10.0800745,96.886784,OK,9.751855744,9.79998988,53.018624,0.5472224571,1.028580093,OK,9.100339683,9.212854214,94.101504,0.9712522195,0.5634195177
OSS/apache-2.4.39/httpd.bc,OK,86.64203885,86.8163635,1216.831488,OK,79.82636515,80.08453789,578.650112,0.4755384108,1.084058993,OK,86.62738131,87.06020496,1195.892736,0.982792398,0.4838645596
OSS/audit-2.8.4/auditctl.bc,OK,31.16153286,31.0921474,72.142848,OK,27.77263343,27.82833906,43.35616,0.6009765514,1.11728362,OK,30.4952733,30.60421468,68.100096,0.9439618464,0.6366534344
OSS/audit-2.8.4/auditd.bc,OK,8.488117009,8.563926579,263.831552,OK,7.562278983,7.623954868,66.1504,0.2507296777,1.123291878,OK,8.490652794,8.512198267,247.123968,0.9366732907,0.2676810369
OSS/audit-2.8.4/aureport.bc,OK,1237.923046,1237.976192,13133.45126,OK,1183.2909,1183.236489,2606.567424,0.1984678187,1.04626269,OK,1233.059987,1232.884124,13534.88384,1.030565658,0.1925814403
OSS/audit-2.8.4/ausearch.bc,OK,66.83961017,66.91616667,556.78976,OK,66.5725365,66.64426507,120.655872,0.2166991577,1.004079895,OK,69.90802965,69.96832533,544.612352,0.978129253,0.2215445014
OSS/autofs-5.1.4/automount.bc,OK,106.2665402,106.3483481,1749.078016,OK,100.7105298,100.9242537,325.873664,0.1863116802,1.053744211,OK,106.788986,107.3882227,1836.834816,1.050173176,0.1774104351
OSS/bc-1.07.1/dc.bc,OK,318.203365,318.2321383,3301.322752,OK,315.0282215,315.0481782,1287.00416,0.3898449975,1.010106264,OK,323.2915626,323.3164105,3117.83424,0.9444196991,0.4127878716
OSS/bird-2.0.3/bird.bc,OK,399.4238853,399.6679511,3685.036032,OK,421.1013635,421.3758943,331.18208,0.08987214158,0.9484831869,OK,420.9086393,421.5843198,3563.180032,0.9669322094,0.09294564884
OSS/bitlbee-3.6/bitlbee.bc,OK,9.209650303,9.308234725,250.368,OK,8.427779123,8.452427801,232.73472,0.9295705521,1.101249835,OK,9.059322112,9.23233527,241.7664,0.9656441718,0.9626429479
OSS/bmon-4.0/bmon.bc,OK,708.0670787,708.1321915,156.868608,OK,673.3817455,673.5123452,83.308544,0.5310721186,1.051401948,OK,664.0010057,663.9360992,162.471936,1.035719881,0.5127565169
OSS/bogofilter-1.2.4/bogofilter.bc,OK,8.077039134,8.096060727,177.2544,OK,8.00979566,8.088055257,78.331904,0.4419179665,1.000989789,OK,8.061292249,8.148323326,171.524096,0.967671866,0.4566816315
OSS/bogofilter-1.2.4/bogotune.bc,OK,2301.570616,2301.656384,193.921024,OK,2321.804948,2321.855865,75.747328,0.3906091585,0.9913002866,OK,2453.914939,2453.676475,191.983616,0.9900092937,0.3945510017
OSS/bogofilter-1.2.4/bogoutil.bc,OK,7.288399156,7.30806805,170.438656,OK,6.769637661,6.796174578,57.217024,0.3357045012,1.075320824,OK,7.20599489,7.224475608,168.988672,0.9914926342,0.3385849674
OSS/brltty-6.0/brltty-ktb.bc,OK,9.069289072,9.168093478,376.057856,OK,8.087775354,8.196020862,122.355712,0.3253640631,1.118602994,OK,8.702813628,8.848288287,362.47552,0.9638823235,0.3375557941
OSS/brltty-6.0/brltty-lsinc.bc,OK,5.328857553,5.348041382,118.091776,OK,4.749734431,4.768421109,78.241792,0.6625507266,1.121553919,OK,5.11164165,5.172300965,114.655232,0.9708993791,0.6824092598
OSS/brltty-6.0/brltty-morse.bc,OK,29.19136726,29.21603256,647.888896,OK,27.2164368,27.26430891,145.788928,0.225021495,1.071585297,OK,30.11849805,30.23217119,633.0368,0.9770761683,0.2303008735
OSS/brltty-6.0/brltty-trtxt.bc,OK,6.951661587,6.972052543,281.931776,OK,6.426801154,6.512118007,58.929152,0.2090191919,1.070627488,OK,6.94153679,6.991905825,270.598144,0.9598000901,0.217773674
OSS/brltty-6.0/brltty-ttb.bc,OK,868.1041304,868.1400965,1558.36416,OK,669.6829354,669.7519427,696.705024,0.4470745939,1.29621139,OK,845.9362493,846.3163393,1499.004928,0.9619092677,0.4647783413
OSS/brltty-6.0/brltty-tune.bc,OK,146.5022557,146.9559713,1526.755328,OK,145.2455988,145.2641765,658.038784,0.4310047405,1.011646332,OK,151.439445,151.5481911,1484.77952,0.9725065259,0.4431895612
OSS/brltty-6.0/brltty.bc,OK,115.779213,115.8159567,3103.059968,OK,103.9591767,104.2080367,715.73504,0.2306545949,1.111391792,OK,112.3712735,112.6162925,2933.444608,0.9453393226,0.2439913261
OSS/bully-1.1.12.g04185d7/bully.bc,OK,458.3557315,458.7440267,946.372608,OK,436.7432907,436.7920186,797.34784,0.8425305564,1.050257347,OK,458.4592404,458.5443116,942.94016,0.996373048,0.8455974979
OSS/caph-1.1/caph.bc,OK,69.91140079,69.93602623,49.508352,OK,59.40834595,59.44094006,42.545152,0.8593530239,1.17656326,OK,71.00980188,71.41885173,48.705536,0.983784231,0.8735177866
OSS/capstone-4.0.1/cstool.bc,OK,3056.117809,3056.223903,734.728192,OK,3319.068496,3319.68035,709.271552,0.9653523027,0.9206380074,OK,2800.403489,2800.780163,733.085696,0.9977644849,0.9675151976
OSS/catdoc-0.95/catdoc.bc,OK,27.3402411,27.36881259,237.256704,OK,28.50289976,28.59619272,140.14464,0.5906877978,0.957078897,OK,30.48881316,30.59655326,237.4656,1.000880464,0.5901681759
OSS/cellwriter-1.3.6/cellwriter.bc,OK,6.954846883,7.028126262,169.873408,OK,5.738618774,5.81212818,83.697664,0.4927060979,1.209217355,OK,6.619772143,6.676360068,166.084608,0.9776963326,0.5039459406
OSS/chemtool-1.6.14/chemtool.bc,OK,95.36109168,95.52863527,1061.6832,OK,77.5265792,77.75616342,258.670592,0.2436419753,1.228566728,OK,87.33327126,87.41639266,1062.187008,1.000474537,0.243526413
OSS/chrony-3.4/chronyc.bc,OK,78.34054837,78.35989445,573.718528,OK,72.24349538,72.28416212,273.928192,0.4774609475,1.084053438,OK,77.15978753,77.05230423,564.928512,0.9846788703,0.4848900103
OSS/chrony-3.4/chronyd.bc,OK,34.19358375,34.25198318,978.255872,OK,30.83250859,31.16429652,273.170432,0.2792423126,1.099077695,OK,33.912576,34.02409968,820.486144,0.8387234541,0.3329372885
